stream_id,stream_name,run_id,step,percent,processed,f0_exact,n_t_estimate,relative_error
1,small_80pct,6,14,75.0,7500,6341,6348.31,0.001153
1,small_80pct,6,15,80.0,8000,6702,6710.28,0.001235
1,small_80pct,6,16,85.0,8500,7035,7066.56,0.004487
1,small_80pct,6,17,90.0,9000,7372,7399.33,0.003707
1,small_80pct,6,18,95.0,9500,7693,7729.36,0.004727
1,small_80pct,6,19,100.0,10000,8000,8059.65,0.007456
1,small_80pct,7,0,5.0,500,494,489.23,-0.009651
1,small_80pct,7,1,10.0,1000,979,980.78,0.001817
1,small_80pct,7,2,15.0,1500,1453,1450.34,-0.001830
1,small_80pct,7,3,20.0,2000,1909,1905.65,-0.001755
1,small_80pct,7,4,25.0,2500,2360,2345.10,-0.006312
1,small_80pct,7,5,30.0,3000,2801,2776.52,-0.008741
1,small_80pct,7,6,35.0,3500,3220,3200.13,-0.006169
1,small_80pct,7,7,40.0,4000,3650,3641.24,-0.002400
1,small_80pct,7,8,45.0,4500,4056,4054.80,-0.000296
1,small_80pct,7,9,50.0,5000,4463,4468.55,0.001245
1,small_80pct,7,10,55.0,5500,4860,4859.36,-0.000131
1,small_80pct,7,11,60.0,6000,5248,5237.68,-0.001966
1,small_80pct,7,12,65.0,6500,5631,5655.99,0.004437
1,small_80pct,7,13,70.0,7000,5996,6018.69,0.003785
1,small_80pct,7,14,75.0,7500,6361,6374.85,0.002177
1,small_80pct,7,15,80.0,8000,6706,6743.45,0.005584
1,small_80pct,7,16,85.0,8500,7028,7077.34,0.007021
1,small_80pct,7,17,90.0,9000,7372,7422.91,0.006905
1,small_80pct,7,18,95.0,9500,7684,7745.40,0.007991
1,small_80pct,7,19,100.0,10000,8000,8064.55,0.008069
1,small_80pct,8,0,5.0,500,496,496.45,0.000899
1,small_80pct,8,1,10.0,1000,975,972.29,-0.002782
1,small_80pct,8,2,15.0,1500,1444,1442.69,-0.000904
1,small_80pct,8,3,20.0,2000,1907,1907.90,0.000470
1,small_80pct,8,4,25.0,2500,2359,2365.89,0.002919
1,small_80pct,8,5,30.0,3000,2792,2810.91,0.006772
1,small_80pct,8,6,35.0,3500,3223,3240.30,0.005368
1,small_80pct,8,7,40.0,4000,3655,3676.25,0.005813
1,small_80pct,8,8,45.0,4500,4058,4081.72,0.005845
1,small_80pct,8,9,50.0,5000,4473,4502.74,0.006649
1,small_80pct,8,10,55.0,5500,4849,4901.12,0.010749
1,small_80pct,8,11,60.0,6000,5236,5294.23,0.011120
1,small_80pct,8,12,65.0,6500,5616,5691.33,0.013414
1,small_80pct,8,13,70.0,7000,5996,6078.00,0.013676
1,small_80pct,8,14,75.0,7500,6354,6453.25,0.015619
1,small_80pct,8,15,80.0,8000,6713,6808.47,0.014222
1,small_80pct,8,16,85.0,8500,7059,7162.28,0.014631
1,small_80pct,8,17,90.0,9000,7380,7485.95,0.014356
1,small_80pct,8,18,95.0,9500,7687,7800.04,0.014705
1,small_80pct,8,19,100.0,10000,8000,8123.55,0.015444
1,small_80pct,9,0,5.0,500,494,493.35,-0.001308
1,small_80pct,9,1,10.0,1000,982,990.34,0.008489
1,small_80pct,9,2,15.0,1500,1455,1457.99,0.002055
1,small_80pct,9,3,20.0,2000,1922,1932.63,0.005532
1,small_80pct,9,4,25.0,2500,2376,2375.13,-0.000366
1,small_80pct,9,5,30.0,3000,2814,2804.97,-0.003208
1,small_80pct,9,6,35.0,3500,3264,3253.71,-0.003152
1,small_80pct,9,7,40.0,4000,3684,3690.02,0.001634
1,small_80pct,9,8,45.0,4500,4077,4086.85,0.002416
1,small_80pct,9,9,50.0,5000,4476,4492.22,0.003623
1,small_80pct,9,10,55.0,5500,4872,4901.12,0.005977
1,small_80pct,9,11,60.0,6000,5239,5290.08,0.009750
1,small_80pct,9,12,65.0,6500,5609,5646.10,0.006615
1,small_80pct,9,13,70.0,7000,5984,6038.92,0.009178
1,small_80pct,9,14,75.0,7500,6325,6392.57,0.010682
1,small_80pct,9,15,80.0,8000,6663,6740.43,0.011621
1,small_80pct,9,16,85.0,8500,6999,7080.42,0.011634
1,small_80pct,9,17,90.0,9000,7345,7415.04,0.009536
1,small_80pct,9,18,95.0,9500,7669,7740.59,0.009335
1,small_80pct,9,19,100.0,10000,8000,8064.55,0.008069
2,medium_50pct,0,0,5.0,5000,4816,4805.64,-0.002151
2,medium_50pct,0,1,10.0,10000,9303,9352.27,0.005296
2,medium_50pct,0,2,15.0,15000,13478,13512.33,0.002547
2,medium_50pct,0,3,20.0,20000,17296,17307.49,0.000664
2,medium_50pct,0,4,25.0,25000,20840,20769.07,-0.003403
2,medium_50pct,0,5,30.0,30000,24089,24006.81,-0.003412
2,medium_50pct,0,6,35.0,35000,27051,26994.83,-0.002076
2,medium_50pct,0,7,40.0,40000,29855,29828.94,-0.000873
2,medium_50pct,0,8,45.0,45000,32424,32218.22,-0.006346
2,medium_50pct,0,9,50.0,50000,34798,34564.99,-0.006696
2,medium_50pct,0,10,55.0,55000,37012,36664.66,-0.009385
2,medium_50pct,0,11,60.0,60000,39029,38571.00,-0.011735
2,medium_50pct,0,12,65.0,65000,40882,41709.82,0.020249
2,medium_50pct,0,13,70.0,70000,42565,43274.69,0.016673
2,medium_50pct,0,14,75.0,75000,44078,44727.01,0.014724
2,medium_50pct,0,15,80.0,80000,45512,46080.94,0.012501
2,medium_50pct,0,16,85.0,85000,46796,47157.70,0.007729
2,medium_50pct,0,17,90.0,90000,47916,48256.78,0.007112
2,medium_50pct,0,18,95.0,95000,49011,49370.63,0.007338
2,medium_50pct,0,19,100.0,100000,50000,50203.11,0.004062
2,medium_50pct,1,0,5.0,5000,4828,4836.51,0.001763
2,medium_50pct,1,1,10.0,10000,9282,9297.50,0.001670
2,medium_50pct,1,2,15.0,15000,13408,13419.07,0.000825
2,medium_50pct,1,3,20.0,20000,17277,17124.46,-0.008829
2,medium_50pct,1,4,25.0,25000,20811,20652.26,-0.007628
2,medium_50pct,1,5,30.0,30000,24117,23898.95,-0.009041
2,medium_50pct,1,6,35.0,35000,27181,27026.03,-0.005701
